169822:   ./client --iterations 10000
   Address Perm   Offset Device   Inode  Size   Rss  Pss Referenced Anonymous LazyFree ShmemPmdMapped FilePmdMapped Shared_Hugetlb Private_Hugetlb Swap SwapPss Locked THPeligible Mapping
5560410000 r-xp 00000000  b3:07 1198306    28    28   28         28         0        0              0             0              0               0    0       0      0           0 client
5560426000 r--p 00006000  b3:07 1198306     4     4    4          4         4        0              0             0              0               0    0       0      0           0 client
5560427000 rw-p 00007000  b3:07 1198306     4     4    4          4         4        0              0             0              0               0    0       0      0           0 client
7facf98000 r--p 0015d000  b3:07  920020    12    12   12         12        12        0              0             0              0               0    0       0      0           0 libc-2.31.so
7facf9b000 rw-p 00160000  b3:07  920020    12    12   12         12        12        0              0             0              0               0    0       0      0           0 libc-2.31.so
7facf9e000 rw-p 00000000  00:00       0    12    12   12         12        12        0              0             0              0               0    0       0      0           0 
7facfa1000 r-xp 00000000  b3:07  925112    24    24   12         24         0        0              0             0              0               0    0       0      0           0 libuuid.so.1.3.0
7facfa7000 ---p 00006000  b3:07  925112    64     0    0          0         0        0              0             0              0               0    0       0      0           0 libuuid.so.1.3.0
7facfb7000 r--p 00006000  b3:07  925112     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libuuid.so.1.3.0
7facfb8000 rw-p 00007000  b3:07  925112     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libuuid.so.1.3.0
7facfb9000 r-xp 00000000  b3:07  924957    28    28   28         28         0        0              0             0              0               0    0       0      0           0 libcjson.so.1.7.14
7facfc0000 ---p 00007000  b3:07  924957    60     0    0          0         0        0              0             0              0               0    0       0      0           0 libcjson.so.1.7.14
7facfcf000 r--p 00006000  b3:07  924957     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libcjson.so.1.7.14
7facfd0000 rw-p 00007000  b3:07  924957     4     4    4          4         4        0              0             0              0               0    0       0      0           0 libcjson.so.1.7.14
7facfd1000 r-xp 00000000  b3:07  921596   572   500  500        500         0        0              0             0              0               0    0       0      0           0 libcurl.so.4.7.0
7fad060000 ---p 0008f000  b3:07  921596    60     0    0          0         0        0              0             0              0               0    0       0      0           0 libcurl.so.4.7.0
7fad06f000 r--p 0008e000  b3:07  921596    16    16   16         16        16        0              0             0              0               0    0       0      0           0 libcurl.so.4.7.0
7fad073000 rw-p 00092000  b3:07  921596     8     8    8          8         8        0              0             0              0               0    0       0      0           0 libcurl.so.4.7.0
7fad075000 rw-p 00000000  00:00       0     4     4    4          4         4        0              0             0              0               0    0       0      0           0 
7fad076000 r-xp 00000000  b3:07 1193351  1324  1236 1236       1236         0        0              0             0              0               0    0       0      0           0 librelic.so
7fad1c1000 ---p 0014b000  b3:07 1193351    60     0    0          0         0        0              0             0              0               0    0       0      0           0 librelic.so
7fad1d0000 r--p 0014a000  b3:07 1193351     4     4    4          4         4        0              0             0              0               0    0       0      0           0 librelic.so
7fad1d1000 rw-p 0014b000  b3:07 1193351    12    12   12         12        12        0              0             0              0               0    0       0      0           0 librelic.so
7fad1d4000 rw-p 00000000  00:00       0   920    48   48         48        48        0              0             0              0               0    0       0      0           0 
7fad2c8000 r-xp 00000000  b3:07  919696   136   136    3        136         0        0              0             0              0               0    0       0      0           0 ld-2.31.so
7fad2ea000 rw-p 00000000  00:00       0    48    48   48         48        48        0              0             0              0               0    0       0      0           0 
7fad2f6000 r--p 00000000  00:00       0     8     0    0          0         0        0              0             0              0               0    0       0      0           0 [vvar]
7fad2f8000 r-xp 00000000  00:00       0     4     4    0          4         0        0              0             0              0               0    0       0      0           0 [vdso]
7fad2f9000 r--p 00021000  b3:07  919696     4     4    4          4         4        0              0             0              0               0    0       0      0           0 ld-2.31.so
7fad2fa000 rw-p 00022000  b3:07  919696     8     8    8          8         8        0              0             0              0               0    0       0      0           0 ld-2.31.so
7ffd2dd000 rw-p 00000000  00:00       0   132    32   32         32        32        0              0             0              0               0    0       0      0           0 [stack]
                                        ===== ===== ==== ========== ========= ======== ============== ============= ============== =============== ==== ======= ====== =========== 
                                        20900 10160 5085      10160      1396        0              0             0              0               0    0       0      0           0 KB 
